id,evseId,typeId,available,maxCurrentA,maxPowerKw,voltageV,phase,notes,added,connectorId
conn1,evse8,ctype9,false,30,100.0,400,1,,2022-10-16,4
conn2,evse8,ctype5,true,24,100.0,240,3,,2022-06-20,1
conn3,evse5,ctype4,false,26,100.0,240,1,,2022-02-28,2
conn4,evse7,ctype3,true,18,100.0,400,3,,2022-07-30,4
conn5,evse7,ctype1,true,29,100.0,240,3,,2022-07-05,1
conn6,evse6,ctype5,false,29,50.0,400,1,,2022-04-16,4
conn7,evse8,ctype1,false,26,100.0,240,3,,2022-12-24,2
conn8,evse10,ctype9,true,28,50.0,240,3,,2022-02-22,4
conn9,evse3,ctype1,false,28,100.0,240,3,,2022-05-07,3
conn10,evse7,ctype5,false,24,50.0,400,1,,2022-10-18,1
